timestamp,pm25,pm10,co,no2,so2,o3,temperature,humidity
2025-07-04 00:00:00,18.2,31.4,0.32,10.5,3.2,13.0,24.8,86.0
2025-07-04 01:00:00,17.5,30.1,0.3,9.8,3.0,12.4,24.2,88.0
2025-07-04 02:00:00,16.9,29.5,0.29,9.2,2.8,11.8,23.8,89.0
2025-07-04 03:00:00,16.4,28.8,0.28,8.9,2.7,11.5,23.5,90.0
2025-07-04 04:00:00,17.1,30.0,0.31,10.0,3.0,12.0,23.7,89.0
2025-07-04 05:00:00,19.8,34.5,0.4,13.5,3.4,13.2,24.0,87.0
2025-07-04 06:00:00,24.6,41.2,0.55,19.8,4.1,15.0,24.7,83.0
2025-07-04 07:00:00,31.8,50.5,0.72,27.0,4.8,18.4,25.6,79.0
2025-07-04 08:00:00,38.4,59.8,0.85,33.5,5.2,21.0,26.8,75.0
2025-07-04 09:00:00,,55.1,0.78,30.2,5.0,28.5,28.1,71.0
2025-07-04 10:00:00,29.5,48.4,0.6,22.4,4.3,39.2,29.3,67.0
2025-07-04 11:00:00,25.0,42.7,0.49,18.0,3.8,48.6,30.2,63.0
2025-07-04 12:00:00,22.4,39.0,0.43,15.8,3.5,56.2,31.0,60.0
2025-07-04 13:00:00,21.0,,0.41,14.9,3.3,60.5,31.6,58.0
2025-07-04 14:00:00,20.5,37.0,0.4,14.2,3.2,62.1,32.0,57.0
2025-07-04 15:00:00,21.2,38.3,0.42,15.0,3.4,58.8,31.7,59.0
2025-07-04 16:00:00,24.8,42.0,0.5,18.5,3.8,50.2,30.8,63.0
2025-07-04 17:00:00,30.6,49.7,0.66,24.9,4.5,41.0,29.7,67.0
2025-07-04 18:00:00,37.5,58.4,0.82,31.7,5.0,31.5,28.5,72.0
2025-07-04 19:00:00,42.1,64.0,0.91,36.8,5.4,25.0,27.6,76.0
2025-07-04 20:00:00,39.0,60.1,0.86,34.0,5.1,20.5,26.9,79.0
2025-07-04 21:00:00,33.2,52.8,0.7,27.6,4.6,17.8,26.2,82.0
2025-07-04 22:00:00,27.4,45.0,-0.4,21.3,4.0,15.3,25.6,84.0
2025-07-04 23:00:00,22.0,37.8,0.43,16.5,3.6,13.9,25.1,85.0
2025-07-05 00:00:00,19.0,32.8,0.34,11.2,3.1,13.0,24.7,87.0
2025-07-05 01:00:00,18.1,31.0,0.31,10.3,3.0,12.2,24.1,
2025-07-05 02:00:00,-12.0,30.2,0.3,9.9,2.9,11.7,23.9,90.0
2025-07-05 03:00:00,17.0,29.4,0.29,9.4,2.8,11.4,85.0,91.0
2025-07-05 04:00:00,17.6,31.1,0.32,10.2,3.1,12.0,23.8,135.0
2025-07-05 04:00:00,17.6,31.1,0.32,10.2,3.1,12.0,23.8,135.0
